HCPCS,Modifier,Description,Billing Unit,Rental Rate,Purchase Rate,Comments
E0260,NU/RR,"Hospital bed, semi-electric w/rails& mattress, 350Ib cap",Each/Month,121.8,1339.8,Certification required for rentals greater than 3 months and for purchase.
E0265,NU/RR,"Hospital bed, full electric w/ rails & mattress, 350lb cao",Each/Month,144,1584,Certification required
E0271,NU,"Mattress, innerspring",Each,,165.3,Replacement for patient owned bed
E0277,RR,Powered pressure reducing air mattress (replaces bed mattress),Day,21.5,,Certification required for rentals greater than 2 months. HS may negotiate with Provider a rental to Cap at 13 months and after 13 months a maintenance rental can be billed every 6 months equivalent to 1 month rental.
E0280,NU,Bed cradle,Each,,32.65,Purchase only
E0294,NU/RR,"Hospital bed, semi-electric no rails& mattress, 350Ib cap",Each/Month,116.8,1284.8,Certification required for rentals greater than 3 months and for purchase.
E0296,NU/RR,"Hospital bed, Full-electric no rails & mattress 350Ib cao",Each/Month,139,1529,Certification required
E0303,NU/RR,"Hospital bed, heavy duty, 350 lb to 600 lb",Each/Month,247.4,2473.4,Certification required for rentals greater than 3 months and for purchase.
E0304,NU/RR,"Hospital bed, heavy duty, 600Ib or greater",Each/Month,593,5930,Certification required for rentals greater than 3 months and for purchase.
E0305,NU/RR,"Bed rails, half length",Pair/Month,12.9,129,
E0310,NU/RR,"Bed rails, full length",Pair/Month,12.9,129,Covered by PHP Medicare only
E0372,NU/RR,Powered air overlay for mattress,Day,15,,Certification required for rentals greater than 2 months. HS may negotiate with Provider a rental to Cap at 13 months and after 13 months a maintenance rental can be billed every 6 months equivalent to 1 month rental.
E0424,"RR,QG,QF",Stationary gaseous Oxygen system,Month,154,,"Certification required
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs over 4"
E0424,RR/QE,Stationary gaseous Oxygen system,Month,77,,"Certification required
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs under 1"
E0424,RR,Stationary gaseous Oxygen system,Month,140,,"Certification required.
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders"
E0431,RR,Portable Oxygen unit - high pressure,Month,23.85,,"Certification required.
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders"
E0434,RR,Portable Liquid Oxygen unit,Month,26.45,,"Certification required.
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders"
E0439,"RR,QG,QF",Stationary Liquid Oxygen reservoir,Month,231.05,,"Certification required.
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs over 4"
E0439,RR/QE,Stationary Liquid Oxygen reservoir,Month,77,,"Certification required.
Includes equipment, contents,
and supplies"
E0439,RR,Stationary Liquid Oxygen reservoir,Month,154,,"Certification required.
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders"
E0441,NU,"Stationary compressed Oxygen cylinder (S, K - 282 cu ft)",Month,,69.7,"Certification required. Only billable only for patient owned stationary system. Can only bill code once per month to
?over all tanks in a one month
period."
E0442,RR,Liquid Oxygen contents,Month,139.35,,Certification required. Billable with patient owned stationary system.
E0443,NU,"Portable compressed Oxygen contents (A,B,C,D,E,M,M6)",One Month's Content,,69.7,"Certification required. Billable with patient owned portable
system."
E0445,NU/RR,Pulse oximeter,Each/Month,184.5,Retail less 25%,Certification required
E0465,RR,Pressure support ventilator; invasive interface,Month,1125,,Certification required
E0465,TW,Pressure support ventilator; invasive interface <Back Uo),Month,562.5,,Certification required
E0466,TW,Pressure support ventilator; non-invasive interface <Back Uo),Month,648,,Certification required
E0466,RR,Pressure support ventilator; non-invasive interface,Month,1265.4,,Certification required
E0470,NU/RR,BiPAP-S,Each/Month,196.65,1966.5,Certification required
E0471,NU/RR,"BiPAP - ST, with noninvasive interface",Each/Month,465.3,4653,Certification required
E0472,NU/RR,"BiPAP - ST, with invasive interface",Each/Month,494,4940,Certification required
E0480,NU/RR,Percussor,Each/Month,35.85,396.15,
E0482,NU/RR,Cough stimulating device,Month,Retail less 20%,Retail less 20%,
E0555,NU,Humidifier - disposable,Each,,Non-billable,Non-billable
E0561,NU/RR,"Humidifier, non heated, used with CPAP",Each/Month,8.2,82,Certification required
E0562,NU/RR,"Humidifier, heated, used with CPAP",Each/Month,18.8,188,Certification required
E0565,NU/RR,Compressor,Each/Month,47,470,
E0570,NU,"Nebulizer, small volume w/ compressor",Each,,83,Purchase only
E0574,NU,"Nebulizer, ultrasonic, small volume",Each,,Retail less 25%,
E0600,NU/RR,"Suction machine, home model",Each/Month,32,320,
E0601,NU/RR,CPAP device,Each/Month,78.75,787.5,Certification required
E0602,NU,Breast pump manual,Each,,40.5,"Covered by PHA and YCCO. Not covered by PHP
Commercial and PHP Medicare."
E0603,NU,"Breast pump, electric",Each,,160,Purchase only
E0604,RR,"Breast Pump, heavy duty electric",Month,63,,Not covered by PHA & YCCO
E0618,RR,Apnea monitor without recording feature,Month,233.65,,
E0619,RR,Apnea monitor with recording feature,Month,320,,
E0621,NU,Patient lift sling / seat - canvas or nylon,Each,,117,Certification required
E0627,NU,Mechanism for seat lift chair (incorporated in chair),Each,,303.6,Certification required
E0630,NU/RR,"Patient lift, hydraulic",Each/Month,77,770,Certification required
E0730,NU,"TENS unit, 4 Lead",Each,,295,
E0731,NU,Conductive Garment worn with TENS unit,Each,,360,"Certification required.
Purchase only."
E0745,NU/RR,Muscle stimulator,Each/Month,76.5,803.5,
E0910,NU/RR,"Trapeze bar, bed attached type",Each/Month,15,150,
E0911,NU/RR,"Trapeze bar, heavy duty, attached to bed",Each/Month,Retail less 25%,Retail less 25%,
E0912,NU/RR,"Trapeze bar, heavy duty, free standing",Each/Month,Retail less 25%,Retail less 25%,
E0920,NU/RR,"Fracture frame, attached to hospital bed",Each/Month,34.8,348,
E0940,NU/RR,Trapeze bar and frame (freestanding),Each/Month,27.8,278,
E1353,NU/RR,"Regulator, Oxygen - (A,B,C,D,E,M,S,K)",Each/Month,10.3,103.3,Certification required
E1355,NU/RR,Cart or stand for compressed gas cylinder,Each/Month,4.5,49.5,Certification required
E1372,NU/RR,"Immersion external heater, wraparound",Each/Month,40.5,405,"Certification required. 1
every 3 years."
E1390,RR/QG,Oxygen concentrator,Month,210,,"Certification required
1. Includes equipment and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs over 4"
E1390,RR/QE,Oxygen concentrator,Month,70,,"Certification required
1. Includes equipment and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs under 1"
E1390,RR,Oxygen concentrator,Month,140,,"Certification required
1. Includes equipment and supplies
2. Must enter LPM and
saturations for all new orders"
E1392,RR,"Oxygen concentrator, portable",Month,51,,Certification required
E1399,NU/RR,"Durable Medical Equipment, miscellaneous",Each/Month,Retail less 25%,Retail less 25%,Certification required
E2000,RR,"Gastric suction pump, home model",Month,44.3,,Rental Only
