HCPCS,Mod,Description,Billing Unit,Managed Rental Rate,Managed Purchase Rate,Commercial Rental Rate,Commercial Purchase Rate,Comments
K0045,NU,F00trest complete assembly,Each,,54.3,,Retail less 36%,
K0046,NU,Elevat legrst low extension,Each,,18.45,,Retail less 36%,
K0047,NU,Elevat legrst up hangr brack,Each,,72.15,,Retail less 36%,
K0050,NU,Ratchet assembly,Each,,29.6,,Retail less 36%,
K0051,NU,"Cam release assembly, f00trest or legrest",Each,,49.6,,Retail less 36%,
K0052,NU/RR,Swingaway detachable f00trest,Each,,87.5,,Retail less 36%,
K0053,NU/RR,"Elevating f00trest, articulating",Each/Month,9.65,96.5,9.65,96.5,
K0056,NU,"Seat height under 17 inches, or 21 inches or greater for high strength, lightweight,
or ultralightweight MWC",Each,,104.1,,Retail less 36%,
K0065,NU,Spoke protectors,Each,,48.7,,Retail less 36%,
K0069,NU,"Rear wheel assembly, complete, with solid tire, spokes or molded",Each,,109.35,,Retail less 36%,
K0070,NU,"Rear wheel assembly, complete, with pneumatic tire, spokes or molded",Each,,200.6,,Retail less 36%,
K0071,NU,"Front caster assembly, complete, with pneumatic tire",Each,,119.55,,Retail less 36%,
K0072,NU,"Front caster assembly, complete, with semi-pneumatic tire",Each,,67.65,,Retail less 36%,
K0073,NU,Caster pin lock,Each,,36.65,,Retail less 36%,
K0077,NU,"Front caster assembly, complete, with solid tire",Each,,64.4,,Retail less 36%,
K0098,NU,Drive belt power for wheelchair,Each,,24.9,,Retail less 36%,
K0105,NU,IV hanger,Each,,108.85,,Retail less 36%,
K0108,NU/RR,"Wheelchair component or accessory, not otherwise specified",Each/Month,Retail less 36%,Retail less 36%,Retail less 36%,Retail less 36%,
K0195,NU/RR,Elevating legrests,Pair/Month,10.9,109,10.9,109,
K0462,RR,Temporary replacement for patient owned equipment being repaired,Each/Month,Retail less 25%,,Retail less 25%,,
K0739,NU,"Labor, repair DME other than Oxygen",15,,"$15.40
A,-",,"$15.40
A,-",
K0800,NU,"Power operated vehicle (sc00ter), group 1 standard, capacity up to and including 300 pounds",Each,,Retail less 37%,,Retail less 37%,
K0801,NU,"Power operated vehicle (sc00ter), group 1 heavy duty, capacity 301 - 450 pounds",Each,,Retail less 37%,,Retail less 37%,
K0802,NU,"Power operated vehicle (sc00ter), group
1 very heavy duty, capacity 451 - 600 pounds",Each,,Retail less 37%,,Retail less 37%,
K0806,NU,"Power operated vehicle (sc00ter), group
2 standard, capacity up to and including 300 pounds",Each,,1564,,1564,
K0807,NU,"Power operated vehicle (sc00ter), group 2 heavy duty, capacity 301 - 450 pounds",Each,,2373,,2373,
K0808,NU,"Power operated vehicle (sc00ter), group 2 very heavy duty, capacity 451 - 600 pounds",Each,,3672,,3672,
K0812,NU,Power operated vehicle not otherwise classified,Each,,Retail less 37%,,Retail less 37%,
K0813,NU,"Power wheelchair, group 1 standard, portable, sling/solid seat and back, capacity up to and includinq 300 lbs",Each,,2405.1,,2405.1,
K0814,NU,"PWC, group 1 standard, portable, captains chair, capacity up to and
including 300 lbs",Each,,2487.55,,2487.55,
K0815,NU,"PWC, group 1 standard, sling/solid seat
and back, capacity up to and including 300Ibs",Each,,2744.75,,2744.75,
K0816,NU,"Power wheelchair, group 1 standard,
captains chair, capacity up to and including 300 pounds",Each,,2545.2,,2545.2,
K0820,NU,"Power wheelchair, group 2 standard, portable, sling/solid seat and back, capacity up to and including 300 lbs",Each,,2470.75,,2470.75,
K0821,NU,"Power wheelchair, group 2 standard, portable, captains chair, capacity up to
and including 300 pounds",Each,,2549.7,,2549.7,
K0822,NU,"Power wheelchair, group 2 standard, portable, sling/solid seat and back,
capacity up to and including 300 lbs",Each,,2741.9,,2741.9,
K0823,NU,"Power wheelchair, group 2 standard, captains chair, capacity up to and
including 300 pounds",Each,,2551.6,,2551.6,
K0824,NU,"Power wheelchair, group 2 heavy duty,
sling/solid seat and back, capacity 301 - 450 pounds",Each,,3932.65,,3932.65,
K0825,NU,"Power wheelchair, group 2 heavy duty,
?aptains chair, capacity 301 - 450 pounds",Each,,3643.7,,3643.7,
K0826,NU,"Power wheelchair, group 2 very heavy duty, sling/solid seat and back, capacity 451 to 600 pounds",Each,,6658.35,,6658.35,
K0827,NU,"Power wheelchair, group 2 very heavy duty, captains chair, capacity 451 to 600
pounds",Each,,5817.75,,5817.75,
K0828,NU,"Power wheelchair, group 2 extra heavy duty, sling/solid seat and back, capacity 601 pounds or more",Each,,Retail less 36%,,Retail less 36%,
K0829,NU,"PWC, group 2 extra heavy duty, captains chair, 601 pounds or more",Each,,Retail less 36%,,Retail less 36%,
K0830,NU,"Power wheelchair, group 2 standard, seat
elevator, sling/solid seat and back, capacity up to and includinq 300 lbs",Each,,Retail less 36%,,Retail less 36%,
K0831,NU,"PWC, group 2 standard, seat elevator,
captains chair, patient weight capacity up to and including 300 lbs",Each,,Retail less 36%,,Retail less 36%,
K0835,NU,"PWC, group 2 standard, single power
option, sling/solid seat and back, capacity up to and including 300 lbs",Each,,2905.95,,2905.95,
K0836,NU,"PWC, group 2 standard, single power option, captains chair, capacity up to and
including 300 lbs",Each,,3014.1,,3014.1,
K0837,NU,"Power wheelchair, group 2 heavy duty,
single power option, sling/solid seat and back, capacity 301 to 450 pounds",Each,,3727.3,,3727.3,
K0838,NU,"Power wheelchair, group 2 heavy duty,
single power option, captains chair, capacity 301 to 450 pounds",Each,,3303.55,,3303.55,
K0839,NU,"Power wheelchair, group 2 very heavy
duty, single power option, sling/solid seat and back, capacity 451 to 600 lbs",Each,,Retail less 36%,,Retail less 36%,
K0840,NU,"PWC, group 2 extra heavy duty, single power option, sling/solid seat and back,
capacity 601 pounds or more",Each,,Retail less 36%,,Retail less 36%,
K0841,NU,"PWC, group 2 standard, multiple power
bption, sling/solid seat and back, capacity up to and including 300 lbs",Each,,3274.8,,3274.8,
K0842,NU,"Power wheelchair, group 2 standard,
multiple power option, captains chair, capacity up to and including 300 lbs",Each,,3270.05,,3270.05,
K0843,NU,"Power wheelchair, group 2 heavy duty,
multiple power option, sling/solid seat and back, capacity 301 to 450 pounds",Each,,3881.9,,3881.9,
K0848,NU,"Power wheelchair, group 3 standard,
sling/solid seat and back, capacity up to and including 300 pounds",Each,,5549,,5549,
K0849,NU,"Power wheelchair, group 3 standard, captains chair, capacity up to and including 300 pounds",Each,,5335,,5335,
K0850,NU,"Power wheelchair, group 3 heavy duty, sling/solid seat and back, capacity 301 to
450 pounds",Each,,6436,,6436,
K0851,NU,"Power wheelchair, group 3 heavy duty, captains chair, capacity 301 to 450 lbs",Each,,6188,,6188,
K0852,NU,"Power wheelchair, group 3 very heavy duty, sling/solid seat and back, capacity
451 to 600 pounds",Each,,Retail less 36%,,Retail less 36%,
K0853,NU,"PWC, group 3 very heavy duty, captains chair, capacity 451 to 600 pounds",Each,,Retail less 36%,,Retail less 36%,
K0854,NU,"Power wheelchair, group 3 extra heavy duty, sling/solid seat and back, capacity 601 pounds or more",Each,,Retail less 36%,,Retail less 36%,
K0855,NU,"Power wheelchair, group 3 extra heavy duty, captains chair, capacity 601 pounds
or more",Each,,Retail less 36%,,Retail less 36%,
K0856,NU,"PWC, group 3 standard, single power pption, sling/solid seat and back, capacity up to and including 300 lbs",Each,,5956,,5956,
K0857,NU,"Power wheelchair, group 3 standard, single power option, captains chair, capacity up to and including 300 lbs",Each,,6075,,6075,
K0858,NU,"Power wheelchair, group 3 heavy duty, single power option, sling/solid seat and
back, capacity 301 to 450 pounds",Each,,7389,,7389,
K0859,NU,"Power wheelchair, group 3 heavy duty,
single power option, captains chair, capacity 301 to 450 pounds",Each,,7047,,7047,
K0860,NU,"Power wheelchair, group 3 very heavy
duty, single power option, sling/solid seat and back, capacity 451 to 600 lbs",Each,,10557,,10557,
K0861,NU,"PWC, group 3 standard, multiple power
pption, sling/solid seat and back, capacity up to and including 300 lbs",Each,,5965,,5965,
K0862,NU,"Power wheelchair, group 3 heavy duty, multiple power option, sling/solid seat
and back, capacity 301 to 450 pounds",Each,,7389,,7389,
K0863,NU,"Power wheelchair, group 3 very heavy
duty, multiple power option, sling/solid seat and back, capacity 451 to 600 lbs",Each,,10557,,10557,
K0864,NU,"PWC, group 3 extra heavy duty, multiple power option, sling/solid seat and back,
capacity 601 pounds or more",Each,,Retail less 36%,,Retail less 36%,
K0868,NU,"Power wheelchair, group 4 standard,
sling/solid seat and back, capacity up to and includinq 300 pounds",Each,,Retail less 36%,,Retail less 36%,
K0869,NU,"Power wheelchair, group 4 standard,
captains chair, capacity up to and including 300 pounds",Each,,Retail less 36%,,Retail less 36%,
K0870,NU,"Power wheelchair, group 4 heavy duty, sling/solid seat and back, capacity 301 to 450 pounds",Each,,Retail less 36%,,Retail less 36%,
K0871,NU,"Power wheelchair, group 4 very heavy duty, sling/solid seat and back, capacity
451 to 600 pounds",Each,,Retail less 36%,,Retail less 36%,
K0877,NU,"PWC, group 4 standard, single power bption, sling/solid seat and back, capacity
up to and including 300 lbs",Each,,Retail less 36%,,Retail less 36%,
K0878,NU,"Power wheelchair, group 4 standard, single power option, captains chair,
capacity up to and including 300 lbs",Each,,Retail less 36%,,Retail less 36%,
K0879,NU,"Power wheelchair, group 4 heavy duty,
single power option, sling/solid seat and back, capacity 301 to 450 pounds",Each,,Retail less 36%,,Retail less 36%,
K0880,NU,"Power wheelchair, group 4 very heavy
duty, single power option, sling/solid seat and back, capacity 451 to 600 lbs",Each,,Retail less 36%,,Retail less 36%,
K0884,NU,"PWC, group 4 standard, multiple power option, sling/solid seat & back, capacity up to and including 300 lbs",Each,,Retail less 36%,,Retail less 36%,
K0885,NU,"Power wheelchair, group 4 standard, multiple power option, captains chair, capacity up to and including 300 lbs",Each,,Retail less 36%,,Retail less 36%,
K0886,NU,"Power wheelchair, group 4 heavy duty, multiple power option, sling/solid seat
and back, capacity 301 to 450 pounds",Each,,Retail less 36%,,Retail less 36%,
K0890,NU,"PWC, group 5 pediatric, single power option, sling/solid seat and back, capacity
up to and including 125 lbs",Each,,Retail less 36%,,Retail less 36%,
K0891,NU,"PWC, group 5 pediatric, multiple power
option, sling/solid seat and back, capacity up to and including 125 lbs",Each,,Retail less 36%,,Retail less 36%,
K0898,NU,Power wheelchair not otherwise classified,Each,,Retail less 36%,,Retail less 36%,
K0899,NU,"Power mobility device, not coded by dme pdac or does not meet criteria",Each,,Retail less 36%,,Retail less 36%,
