HCPCS,Mod,Description,Billing Unit,Managed Rental Rate,Managed Purchase Rate,Commercial Rental Rate,Commercial Purchase Rate,Comments
E2330,NU,"Power wheelchair accessory, head control interface, proximity switch",Each,,Retail less 36%,,Retail less 36%,
E2340,NU,"Power wheelchair accessory, 20 - 24 inch width seat frame",Each,,398.95,,Retail less 36%,
E2341,NU,"Power wheelchair accessory, 24 - 27 inch width seat frame",Each,,598.45,,Retail less 36%,
E2342,NU,"Power wheelchair accessory, 20 - 21 inch depth seat frame",Each,,498.75,,Retail less 36%,
E2343,NU,"Power wheelchair accessory, 22 - 25 inch depth seat frame",Each,,797.95,,Retail less 36%,
E2351,NU,"PWC accessory, electronic interface to operate speech generating device using PWC control interface",Each,,Retail less 36%,,Retail less 36%,
E2359,NU,"Power wheelchair accessory, Group 34 sealed lead acid battery",Each,,193.3,,193.3,
E2360,NU,"Power wheelchair accessory, 22 NF non-sealed lead acid",Each,,148,,148,
E2361,NU,"Power wheelchair accessory, 22 NF sealed lead acid battery (gel cell)",Each,,131.6,,131.6,
E2362,NU,"Power wheelchair accessory, group 24 non-sealed lead acid battery",Each,,100.7,,100.7,
