HCPCS,Mod 1,Mod 2,Commercial,,,,,,,,
A5504,,,Prevailng State Rates,,,,,,,,
A5512,,,Prevailng State Rates,,,,,,,,
A5513,,,$42.25,,,,,,,,
A5514,,,$42.51,,,,,,,,
A6010,,,Prevailng State Rates,,,,,,,,
A6021,,,$22.95,,,,,,,,
A6022,,,Prevailng State Rates,,,,,,,,
A6023,,,Prevailng State Rates,,,,,,,,
A6196,,,$8.03,,,,,,,,
A6197,,,$17.95,,,,,,,,
A6199,,,$5.76,,,,,,,,
A6203,,,$3.68,,,,,,,,
A6206,,,$1.23,,,,,,,,
A6207,,,$8.02,,,,,,,,
A6209,,,$8.16,,,,,,,,
A6210,,,$21.75,,,,,,,,
A6211,,,Prevailng State Rates,,,,,,,,
A6212,,,$10.60,,,,,,,,
A6213,,,$18.04,,,,,,,,
A6215,,,Prevailng State Rates,,,,,,,,
A6216,,,$0.04,,,,,,,,
A6217,,,Prevailng State Rates,,,,,,,,
A6218,,,Prevailng State Rates,,,,,,,,
A6219,,,$1.04,,,,,,,,
A6220,,,$2.83,,,,,,,,
A6222,,,$2.33,,,,,,,,
A6223,,,$2.65,,,,,,,,
A6229,,,Prevailng State Rates,,,,,,,,
A6231,,,Prevailng State Rates,,,,,,,,
A6234,,,$7.15,,,,,,,,
A6235,,,Prevailng State Rates,,,,,,,,
A6237,,,$10.34,,,,,,,,
A6238,,,Prevailng State Rates,,,,,,,,
A6240,,,$17.11,,,,,,,,
A6242,,,Prevailng State Rates,,,,,,,,
A6245,,,$7.94,,,,,,,,
A6248,,,$17.74,,,,,,,,
A6250,,,Cost Invoice,,,,,,,,
A6251,,,$2.17,,,,,,,,
A6252,,,$3.55,,,,,,,,
A6253,,,$6.91,,,,,,,,
A6257,,,$1.67,,,,,,,,
A6258,,,$4.70,,,,,,,,
A6259,,,Prevailng State Rates,,,,,,,,
A6260,,,Cost Invoice,,,,,,,,
A6261,,,Cost Invoice,,,,,,,,
A6266,,,$2.09,,,,,,,,
A6402,,,$0.12,,,,,,,,
A6403,,,Prevailng State Rates,,,,,,,,
A6407,,,Prevailng State Rates,,,,,,,,
A6441,,,$0.74,,,,,,,,
A6443,,,$0.30,,,,,,,,
A6445,,,Prevailng State Rates,,,,,,,,
A6446,,,$0.42,,,,,,,,
A6448,,,Prevailng State Rates,,,,,,,,
A6449,,,$1.91,,,,,,,,
A6450,,,Prevailng State Rates,,,,,,,,
A6452,,,$6.44,,,,,,,,
A6453,,,Prevailng State Rates,,,,,,,,
A6454,,,$0.86,,,,,,,,
A6456,,,$1.20,,,,,,,,
A6457,,,$1.24,,,,,,,,
A6504,,,$215.39,,,,,,,,
A6516,,,Prevailng State Rates,,,,,,,,
A6522,,,$344.06,,,,,,,,
A6523,,,$816.33,,,,,,,,
A6524,,,Prevailng State Rates,,,,,,,,
A6525,,,$866.58,,,,,,,,
