HCPCS,Mod 1,Mod 2,Medicaid
A6587,,,$57.13
A6588,,,$190.43
A6589,,,Prevailing State Rates
A6593,,,Cost Invoice
A6610,,,$176.77
A7000,,,$8.73
A7002,,,$3.97
A7003,,,$2.32
A7004,,,Prevailing State Rates
A7005,,,$25.99
A7007,,,$4.02
A7010,,,$19.88
A7012,,,$3.28
A7013,,,$0.70
A7014,,,$3.84
A7015,,,$1.59
A7020,,,$14.54
A7027,,,Prevailing State Rates
A7030,,,$122.62
A7031,,,$45.35
A7032,,,$26.34
A7033,,,$18.46
A7034,,,$76.46
A7035,,,$25.83
A7036,,,$11.82
A7037,,,$26.66
A7038,,,$3.51
A7039,,,$9.96
A7045,,,Prevailing State Rates
A7046,,,$13.50
A7048,,,$57.71
A7507,,,$2.73
A7508,,,Prevailing State Rates
A7509,,,$1.54
A7520,,,$51.82
A7521,,,$51.35
A7523,,,Prevailing State Rates
A7525,,,$2.25
A7526,,,$3.70
A8001,,,$167.41
A9270,,,Cost Invoice
A9274,,,Prevailing State Rates
A9282,,,Prevailing State Rates
A9284,,,$4.08
A9900,,,Cost Invoice
A9999,,,Cost Invoice
B4034,,,$5.94
B4035,,,$7.33
B4036,,,$7.75
B4081,,,$21.00
B4082,,,Prevailing State Rates
B4087,,,$33.70
B4088,,,$79.92
B4100,BO,,$3.91
B4100,,,Cost Invoice
B4102,BO,,$10.36
B4102,,,$10.36
B4103,BO,,$9.83
B4103,,,$13.18
B4105,,,Prevailing State Rates
B4149,,,$1.50
B4150,,,$0.46
B4150,BO,,$0.82
B4152,BO,,$0.71
B4152,,,$0.38
B4153,,,$1.54
B4154,,,$0.81
B4154,BO,,$1.53
B4155,,,$0.90
B4155,BO,,$1.18
B4158,BO,,$7.45
B4158,,,$0.75
B4160,BO,,$1.69
B4160,,,$0.75
B4161,BO,,$8.74
B4161,,,$2.16
B4161,BA,,Prevailing State Rates
B4162,,,Cost Invoice
B9002,,,$302.94
B9002,RR,,$115.34
B9998,,,Cost Invoice
E0100,,,$21.49
E0105,,,$50.52
E0110,,,$80.47
E0114,,,$48.93
E0118,,,$444.71
E0118,RR,,$44.47
E0130,,,Prevailing State Rates
E0135,,,$60.53
E0140,,,Prevailing State Rates
E0141,,,Prevailing State Rates
E0143,,,$87.34
E0147,,,$448.00
E0148,,,Prevailing State Rates
E0149,,,$162.16
E0149,RR,,$16.22
E0154,,,$54.43
E0155,,,$23.07
E0156,,,$19.20
E0163,,,$89.78
E0165,,,$156.66
E0165,RR,,$15.67
E0167,,,Prevailing State Rates
E0168,,,$132.75
E0168,RR,,$13.28
E0181,,,$219.64
E0181,RR,,$21.96
E0184,,,$168.92
E0184,RR,,$16.89
E0185,,,$269.60
E0188,,,Prevailing State Rates
E0189,,,Prevailing State Rates
E0190,,,$43.93
E0191,,,Prevailing State Rates
E0197,,,$186.77
E0199,,,$28.18
E0202,RR,,$55.20
E0240,,,$172.27
E0241,,,$28.57
E0243,,,$31.23
E0244,,,$29.59
E0245,,,$143.56
E0246,,,$52.79
E0247,,,$143.56
E0248,,,$213.79
E0255,RR,,$89.84
E0260,,,$974.30
E0260,RR,,$97.43
E0261,RR,,$123.20
E0265,RR,,$179.17
E0271,,,$169.80
E0272,,,$151.04
E0274,RR,,$19.06
E0277,RR,,$511.05
E0294,,,$999.13
