HCPCS,Mod 1,Mod 2,Medicaid
L8694,,,Cost Invoice
L9900,,,Cost Invoice
S1040,,,Prevailing State Rates
S8120,,,Prevailing State Rates
T4521,,,$0.48
T4522,,,$0.45
T4523,,,$0.50
T4524,,,$0.53
T4525,,,$0.48
T4526,,,$0.64
T4527,,,$0.71
T4528,,,$0.76
T4530,,,$0.48
T4531,,,$0.48
T4532,,,$0.48
T4534,,,$0.48
T4535,,,$0.30
T4536,,,$11.42
T4537,,,$13.50
T4541,,,$0.24
T4543,,,$0.79
