HCPCS,Mod 1,Mod 2,Medicare
A6587,,,$81.94
A6588,,,Prevailing State Rates
A6589,,,Prevailing State Rates
A6593,,,$109.66
A6610,,,$253.49
A7000,,,$8.73
A7002,,,$3.97
A7003,,,$2.32
A7004,,,$1.52
A7005,,,$25.99
A7007,,,$4.02
A7010,,,$19.88
A7012,,,$3.28
A7013,,,$0.70
A7014,,,$3.84
A7015,,,$1.59
A7020,,,$14.54
A7027,,,Prevailing State Rates
A7030,,,$122.62
A7031,,,$45.35
A7032,,,$26.34
A7033,,,$18.46
A7034,,,$76.46
A7035,,,$25.83
A7036,,,$11.82
A7037,,,$26.66
A7038,,,$3.51
A7039,,,$9.96
A7045,,,Prevailing State Rates
A7046,,,$13.50
A7048,,,$57.71
A7507,,,$2.73
A7508,,,$3.14
A7509,,,$1.97
A7520,,,$51.82
A7521,,,$51.35
A7523,,,$19.66
A7525,,,$2.25
A7526,,,$3.70
A8001,,,Prevailing State Rates
A9270,,,Cost Invoice
A9274,,,Prevailing State Rates
A9282,,,Prevailing State Rates
A9284,,,$3.50
A9900,,,Cost Invoice
A9999,,,Cost Invoice
B4034,,,$5.94
B4035,,,$7.22
B4036,,,$7.75
B4081,,,Prevailing State Rates
B4082,,,Prevailing State Rates
B4087,,,$33.70
B4088,,,$79.92
B4100,BO,,Prevailing State Rates
B4100,,,Prevailing State Rates
B4102,BO,,Prevailing State Rates
B4102,,,Prevailing State Rates
B4103,BO,,Prevailing State Rates
B4103,,,Prevailing State Rates
B4105,,,Prevailing State Rates
B4149,,,$1.50
B4150,,,$0.46
B4150,BO,,Prevailing State Rates
B4152,BO,,$0.60
B4152,,,$0.38
B4153,,,$1.54
B4154,,,$0.81
B4154,BO,,Prevailing State Rates
B4155,,,$0.90
B4155,BO,,Prevailing State Rates
B4158,BO,,Prevailing State Rates
B4158,,,Prevailing State Rates
B4160,BO,,Prevailing State Rates
B4160,,,Prevailing State Rates
B4161,BO,,Prevailing State Rates
B4161,,,Prevailing State Rates
B4161,BA,,Prevailing State Rates
B4162,,,Prevailing State Rates
B9002,,,$758.06
B9002,RR,,$115.34
B9998,,,Cost Invoice
E0100,,,$21.49
E0105,,,$50.52
E0110,,,$80.47
E0114,,,$48.93
E0118,,,$823.50
E0118,RR,,$82.35
E0130,,,$52.64
E0135,,,$60.53
E0140,,,$293.98
E0141,,,Prevailing State Rates
E0143,,,$87.34
E0147,,,$448.00
E0148,,,$95.31
E0149,,,$162.16
E0149,RR,,$16.22
E0154,,,$54.43
E0155,,,Prevailing State Rates
E0156,,,$19.20
E0163,,,$89.78
E0165,,,$156.66
E0165,RR,,$15.67
E0167,,,$11.31
E0168,,,$132.75
E0168,RR,,$13.28
E0181,,,$219.64
E0181,RR,,$21.96
E0184,,,$183.45
E0184,RR,,$18.34
E0185,,,$269.60
E0188,,,Prevailing State Rates
E0189,,,Prevailing State Rates
E0190,,,Prevailing State Rates
E0191,,,$8.81
E0197,,,$186.77
E0199,,,$28.18
E0202,RR,,Prevailing State Rates
E0240,,,Prevailing State Rates
E0241,,,Prevailing State Rates
E0243,,,Prevailing State Rates
E0244,,,Prevailing State Rates
E0245,,,Prevailing State Rates
E0246,,,Prevailing State Rates
E0247,,,Prevailing State Rates
E0248,,,Prevailing State Rates
E0255,RR,,$89.84
E0260,,,"$1,074.16"
E0260,RR,,$107.42
E0261,RR,,$104.72
E0265,RR,,Prevailing State Rates
E0271,,,Prevailing State Rates
E0272,,,Prevailing State Rates
E0274,RR,,Prevailing State Rates
E0277,RR,,$511.05
