HCPCS,Mod 1,Mod 2,ASO/Commercial
A7003,,,2.32
A7004,,,1.52
A7005,,,25.99
A7007,,,4.02
A7010,,,19.88
A7012,,,3.28
A7013,,,0.7
A7014,,,3.84
A7015,,,1.59
A7020,,,14.54
A7027,,,135.26
A7030,,,122.62
A7031,,,45.35
A7032,,,26.34
A7033,,,18.46
A7034,,,76.46
A7035,,,25.83
A7036,,,11.82
A7037,,,26.66
A7038,,,3.51
A7039,,,9.96
A7045,,,12.92
A7046,,,13.5
A7048,,,57.71
A7507,,,2.73
A7508,,,3.14
A7509,,,1.97
A7520,,,51.82
A7521,,,51.35
A7523,,,Prevailing State Rates
A7525,,,2.25
A7526,,,3.7
A8001,,,Prevailing State Rates
A9270,,,Cost Invoice
A9274,,,Cost Invoice
A9282,,,150
A9284,,,10.83
A9900,,,Cost Invoice
A9999,,,Cost Invoice
B4034,,,5.94
B4035,,,7.22
B4036,,,7.75
B4081,,,Prevailing State Rates
B4082,,,15.63
B4087,,,33.7
B4088,,,79.92
B4100,BO,,Prevailing State Rates
B4100,,,Prevailing State Rates
B4102,BO,,Prevailing State Rates
B4102,,,Prevailing State Rates
B4103,BO,,Prevailing State Rates
B4103,,,11.83
B4105,,,Prevailing State Rates
B4149,,,1.5
B4150,,,0.46
B4150,BO,,Prevailing State Rates
B4152,BO,,Prevailing State Rates
B4152,,,0.38
B4153,,,1.54
B4154,,,0.81
B4154,BO,,Prevailing State Rates
B4155,,,0.9
B4155,BO,,Prevailing State Rates
B4158,BO,,Prevailing State Rates
B4158,,,8.51
B4160,BO,,Cost Invoice
B4160,,,0.87
B4161,BO,,Cost Invoice
B4161,,,2.16
B4161,BA,,2.32
B4162,,,Prevailing State Rates
B9002,,,758.06
B9002,RR,,115.34
B9998,,,Cost Invoice
E0100,,,21.49
E0105,,,50.52
E0110,,,80.47
E0114,,,48.93
E0118,,,823.5
E0118,RR,,82.35
E0130,,,52.64
E0135,,,60.53
E0140,,,Prevailing State Rates
E0141,,,Prevailing State Rates
E0143,,,87.34
E0147,,,Prevailing State Rates
E0148,,,Prevailing State Rates
E0149,,,162.16
E0149,RR,,16.216
E0154,,,54.43
E0155,,,Prevailing State Rates
E0156,,,19.2
E0163,,,89.78
E0165,,,156.62
E0165,RR,,15.662
E0167,,,Prevailing State Rates
E0168,,,132.75
E0168,RR,,13.275
E0181,,,219.6
E0181,RR,,21.96
E0184,,,183.445
E0184,RR,,18.3445
E0185,,,Prevailing State Rates
E0188,,,Prevailing State Rates
E0189,,,45.61
E0190,,,Prevailing State Rates
E0191,,,Prevailing State Rates
E0197,,,Prevailing State Rates
E0199,,,28.18
E0202,RR,,55.2
E0240,,,Prevailing State Rates
E0241,,,Prevailing State Rates
E0243,,,Prevailing State Rates
E0244,,,Prevailing State Rates
E0245,,,Prevailing State Rates
E0246,,,Prevailing State Rates
E0247,,,Prevailing State Rates
E0248,,,Prevailing State Rates
E0255,RR,,89.84
E0260,,,1074.16
E0260,RR,,107.416
E0261,RR,,104.72
E0265,RR,,Prevailing State Rates
E0271,,,Prevailing State Rates
E0272,,,Prevailing State Rates
E0274,RR,,Prevailing State Rates
E0277,RR,,511.05
E0294,,,1030.56
E0294,RR,,103.056
E0301,RR,,Prevailing State Rates
E0303,,,2324.6
E0303,RR,,232.46
E0304,RR,,Prevailing State Rates
E0305,,,Prevailing State Rates
E0310,,,126.35
E0310,RR,,12.64
E0325,,,10.19
E0328,,,Prevailing State Rates
E0424,QG,,278.2
E0424,QG,RR,278.2
E0424,RR,,129.43
E0424,QF,,278.2
E0431,RR,,21.64
E0431,RR,QF,Prevailing State Rates
E0431,,,Prevailing State Rates
E0434,RR,,Prevailing State Rates
E0439,RR,,Prevailing State Rates
E0445,,,1149.17
E0445,RR,,164.17
E0465,RR,,908.79
E0465,TW,RR,664.2
E0465,RR,TW,Prevailing State Rates
E0465,TW,,Prevailing State Rates
E0466,RR,,908.79
E0466,TW,,738
E0467,RR,,1514.07
E0470,,,1633.59
E0470,RR,,163.35
E0471,,,4398.42
E0471,RR,,439.842
E0480,,,Prevailing State Rates
E0482,,,4459.31
E0482,RR,,445.94
E0483,,,11094.39
E0483,RR,,1109.44
E0484,,,51.61
E0562,,,195.8
E0562,RR,,19.57
E0565,RR,,51.43
E0570,,,135.82
E0570,RR,,13.59
E0575,,,Prevailing State Rates
E0600,,,413.8
E0600,RR,,41.39
E0601,,,726.16
E0601,RR,,72.62
E0603,,,191.68
E0604,,,247.49
E0604,RR,,24.749
E0607,,,72.94
E0617,KF,,427.5
E0617,,,4275
E0621,,,Prevailing State Rates
E0630,,,858.78
E0630,RR,,85.87
E0635,,,1482.9
E0635,RR,,148.29
E0636,RR,,1163.69
E0637,,,Prevailing State Rates
E0642,,,Prevailing State Rates
E0651,,,1283.19
E0652,,,4169.53
E0652,RR,,732.05
E0656,,,990
E0657,,,990
E0667,,,295.98
E0668,,,617.39
E0673,,,Prevailing State Rates
E0676,,,Cost Invoice
E0691,,,931.82
E0694,,,4591.07
E0700,,,Cost Invoice
E0705,,,50.29
E0730,,,66.84
E0745,RR,,92.83
E0747,,,4060.89
E0748,,,4034.59
E0760,,,3352.66
E0776,,,178.9
E0776,RR,,17.89
E0784,,,4373.53
E0784,RR,,505.25
E0910,,,152.9
E0910,RR,,15.29
E0912,,,955.3
E0912,RR,,95.53
E0935,,,317.8
E0935,RR,,31.78
E0940,RR,,Prevailing State Rates
E0950,,,1297.96
E0951,,,19.65
E0952,,,Prevailing State Rates
E0953,,,361.78
E0954,,,54.32
E0955,,,364.98
E0955,RR,,36.498
E0956,,,269.39
E0957,,,588.52
E0960,,,94.16
E0961,,,39.88
E0961,RR,,3.988
E0966,,,85.7
E0966,RR,,8.57
E0967,,,Prevailing State Rates
E0971,,,53.89
E0971,RR,,5.389
