HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,WA (NR),WA (R),Short Description
A4216,,,J,OS,0.63,0.54,0.54,0,"Sterile water/saline, 10 ml"
A4217,,,J,SU,4.47,3.8,4.47,0,"Sterile water/saline, 500 ml"
A4217,AU,,J,OS,4.47,3.8,4.47,0,"Sterile water/saline, 500 ml"
A4221,,,D,SU,0,0,25.87,28.8,Supp non-insulin inf cath/wk
A4222,,,D,SU,0,0,49.07,56,Infusion supplies with pump
A4224,,,D,SU,0,0,25.87,28.8,Supply insulin inf cath/wk
A4225,,,D,SU,0,0,3.47,3.6,Sup/ext insulin inf pump syr
A4233,NU,,D,IN,0,0,0.51,0,Alkalin batt for glucose mon
A4234,NU,,D,IN,0,0,2.36,0,J-cell batt for glucose mon
A4235,NU,,D,IN,0,0,1,0,Lithium batt for glucose mon
A4236,NU,,D,IN,0,0,1.16,0,Silvr oxide batt glucose mon
A4238,KF,,D,SU,0,0,280.71,0,Adju cgm supply allowance
A4239,,,D,SU,273.28,232.29,273.28,0,Non-adju cgm supply allow
A4239,KF,,D,SU,317.97,270.27,317.97,0,Non-adju cgm supply allow
A4253,NU,,D,IN,0,0,8.32,0,Blood glucose/reagent strips
A4255,,,D,SU,5.85,4.97,5.85,0,Glucose monitor platforms
A4256,,,D,SU,0,0,3.38,0,Calibrator solution/chips
A4257,,,D,SU,18.19,15.46,18.19,0,Replace lensshield cartridge
A4258,,,D,SU,0,0,2.12,0,Lancet device each
A4259,,,D,SU,0,0,1.42,0,Lancets per box
A4265,,,J,SU,4.86,4.13,4.86,0,Paraffin
A4271,,,D,SU,34.1,28.99,34.1,0,Home lancing/test cartridges
A4280,,,D,PO,9.08,6.81,7.38,0,Brst prsths adhsv attchmnt
A4295,,,J,OS,2.58,2.19,2.58,0,Straigh tip hydrophilic cath
A4296,,,J,OS,9.15,7.78,9.15,0,Coude tip hydrophilic cath
A4297,,,J,OS,9.99,8.49,9.99,0,Hydrophilic coat insert sup
A4310,,,J,OS,11.01,9.36,11.01,0,Insert tray w/o bag/cath
A4311,,,J,OS,21.11,17.94,21.11,0,Catheter w/o bag 2-way latex
A4312,,,J,OS,25.7,21.85,24.45,0,Cath w/o bag 2-way silicone
A4313,,,J,OS,26.4,22.44,24.45,0,Catheter w/bag 3-way
A4314,,,J,OS,36.03,30.63,36.03,0,Cath w/drainage 2-way latex
A4315,,,J,OS,37.59,31.95,37.59,0,Cath w/drainage 2-way silcne
A4316,,,J,OS,40.47,34.4,40.47,0,Cath w/drainage 3-way
A4320,,,J,OS,7.61,6.47,7.61,0,Irrigation tray
A4321,,,J,OS,0,0,0,0,Cath therapeutic irrig agent
A4322,,,D,OS,4.35,3.7,4.35,0,Irrigation syringe
A4326,,,J,OS,15.37,13.06,15.37,0,Male external catheter
A4327,,,J,OS,63.57,54.03,60.23,0,Fem urinary collect dev cup
A4328,,,J,OS,14.87,12.64,14.87,0,Fem urinary collect pouch
A4330,,,J,OS,10.21,8.68,10.21,0,Stool collection pouch
A4331,,,J,OS,4.53,3.85,4.53,0,Extension drainage tubing
A4332,,,J,OS,0.15,0.13,0.15,0,Lube sterile packet
A4333,,,J,OS,3.16,2.69,3.16,0,Urinary cath anchor device
A4334,,,J,OS,7.01,5.96,7.01,0,Urinary cath leg strap
A4336,,,J,OS,2.05,1.74,2.05,0,Urethral insert
A4338,,,J,OS,17.48,14.86,17.48,0,Indwelling catheter latex
A4340,,,J,OS,45.25,38.46,45.25,0,Indwelling catheter special
A4341,,,D,OS,347.75,295.59,347.75,0,Iduc valve pat inst repl
A4342,,,D,OS,878.06,746.35,878.06,0,Iduc valve sply repl
A4344,,,J,OS,22.81,19.39,22.81,0,Cath indw foley 2 way silicn
A4346,,,J,OS,27.91,23.72,23.72,0,Cath indw foley 3 way
A4349,,,J,OS,2.87,2.44,2.87,0,Disposable male external cat
A4351,,,J,OS,2.58,2.19,2.58,0,Straight tip urine catheter
A4352,,,J,OS,9.15,7.78,9.15,0,Coude tip urinary catheter
A4353,,,J,OS,9.99,8.49,9.99,0,Intermittent urinary cath
A4354,,,J,OS,16.83,14.31,14.31,0,Cath insertion tray w/bag
A4355,,,J,OS,12.71,10.8,12.71,0,Bladder irrigation tubing
A4356,,,J,OS,65.03,55.28,55.28,0,Ext ureth clmp or compr dvc
A4357,,,J,OS,13.84,11.76,13.84,0,Bedside drainage bag
A4358,,,J,OS,9.46,8.04,9.2,0,Urinary leg or abdomen bag
A4360,,,D,OS,0.7,0.6,0.6,0,Disposable ext urethral dev
A4361,,,D,OS,26.16,22.24,26.16,0,Ostomy face plate
A4362,,,D,OS,4.95,4.21,4.95,0,Solid skin barrier
A4363,,,D,OS,3.38,2.87,3.38,0,"Ostomy clamp, replacement"
A4364,,,D,OS,4.19,3.56,3.89,0,"Adhesive, liquid or equal"
A4366,,,D,OS,1.84,1.56,1.84,0,Ostomy vent
A4367,,,D,OS,10.49,8.92,9.7,0,Ostomy belt
A4368,,,D,OS,0.36,0.31,0.36,0,Ostomy filter
A4369,,,D,OS,3.46,2.94,2.94,0,Skin barrier liquid per oz
A4371,,,D,OS,5.2,4.42,5.12,0,Skin barrier powder per oz
A4372,,,D,OS,5.99,5.09,5.99,0,Skin barrier solid 4x4 equiv
A4373,,,D,OS,8.94,7.6,8.94,0,Skin barrier with flange
A4375,,,D,OS,24.47,20.8,24.47,0,Drainable plastic pch w fcpl
A4376,,,D,OS,67.81,57.64,67.81,0,Drainable rubber pch w fcplt
A4377,,,D,OS,6.11,5.19,6.11,0,Drainable plstic pch w/o fp
A4378,,,D,OS,43.82,37.25,43.82,0,Drainable rubber pch w/o fp
A4379,,,D,OS,21.4,18.19,21.4,0,Urinary plastic pouch w fcpl
A4380,,,D,OS,53.2,45.22,53.2,0,Urinary rubber pouch w fcplt
A4381,,,D,OS,6.59,5.6,6.59,0,Urinary plastic pouch w/o fp
A4382,,,D,OS,35.09,29.83,35.09,0,Urinary hvy plstc pch w/o fp
A4383,,,D,OS,40.17,34.14,40.17,0,Urinary rubber pouch w/o fp
A4384,,,D,OS,13.69,11.64,13.69,0,Ostomy faceplt/silicone ring
A4385,,,D,OS,7.26,6.17,7.26,0,Ost skn barrier sld ext wear
A4387,,,D,OS,3.2,2.72,3.2,0,Ost clsd pouch w att st barr
A4388,,,D,OS,6.21,5.28,6.21,0,Drainable pch w ex wear barr
A4389,,,D,OS,8.84,7.51,8.84,0,Drainable pch w st wear barr
A4390,,,D,OS,13.68,11.63,13.68,0,Drainable pch ex wear convex
A4391,,,D,OS,10.07,8.56,10.07,0,Urinary pouch w ex wear barr
A4392,,,D,OS,11.65,9.9,11.65,0,Urinary pouch w st wear barr
A4393,,,D,OS,12.88,10.95,12.88,0,Urine pch w ex wear bar conv
A4394,,,D,OS,3.69,3.14,3.69,0,Ostomy pouch liq deodorant
A4395,,,D,OS,0.05,0.04,0.05,0,Ostomy pouch solid deodorant
A4396,,,D,OS,57.69,49.04,57.69,0,Peristomal hernia supprt blt
A4398,,,D,OS,19.7,16.75,19.7,0,Ostomy irrigation bag
A4399,,,D,OS,17.48,14.86,16.48,0,Ostomy irrig cone/cath w brs
A4400,,,D,OS,69.65,59.2,63.14,0,Ostomy irrigation set
A4402,,,D,OS,2.27,1.93,2.27,0,Lubricant per ounce
A4404,,,D,OS,2.39,2.03,2.39,0,Ostomy ring each
A4405,,,D,OS,4.87,4.14,4.87,0,Nonpectin based ostomy paste
A4406,,,D,OS,8.16,6.94,8.16,0,Pectin based ostomy paste
A4407,,,D,OS,12.48,10.61,12.48,0,"Ext wear ost skn barr <=4sq"""
A4408,,,D,OS,14.07,11.96,14.07,0,"Ext wear ost skn barr >4sq"""
A4409,,,D,OS,8.84,7.51,8.84,0,Ost skn barr convex <=4 sq i
A4410,,,D,OS,12.88,10.95,12.88,0,Ost skn barr extnd >4 sq
A4411,,,D,OS,7.26,6.17,7.26,0,Ost skn barr extnd =4sq
A4412,,,D,OS,3.86,3.28,3.86,0,Ost pouch drain high output
A4413,,,D,OS,7.85,6.67,7.85,0,2 pc drainable ost pouch
A4414,,,D,OS,7.01,5.96,7.01,0,Ost sknbar w/o conv<=4 sq in
A4415,,,D,OS,8.55,7.27,8.55,0,Ost skn barr w/o conv >4 sqi
A4416,,,D,OS,3.93,3.34,3.93,0,Ost pch clsd w barrier/filtr
A4417,,,D,OS,5.31,4.51,5.31,0,Ost pch w bar/bltinconv/fltr
A4418,,,D,OS,2.58,2.19,2.58,0,Ost pch clsd w/o bar w filtr
A4419,,,D,OS,2.46,2.09,2.46,0,Ost pch for bar w flange/flt
A4420,,,D,OS,0,0,0,0,Ost pch clsd for bar w lk fl
A4422,,,D,OS,0.15,0.13,0.15,0,Ost pouch absorbent material
A4423,,,D,OS,2.64,2.24,2.64,0,Ost pch for bar w lk fl/fltr
A4424,,,D,OS,6.78,5.76,6.78,0,Ost pch drain w bar & filter
A4425,,,D,OS,5.1,4.34,5.1,0,Ost pch drain for barrier fl
A4426,,,D,OS,3.89,3.31,3.89,0,Ost pch drain 2 piece system
A4427,,,D,OS,3.98,3.38,3.98,0,Ost pch drain/barr lk flng/f
A4428,,,D,OS,9.29,7.9,9.29,0,Urine ost pouch w faucet/tap
A4429,,,D,OS,11.76,10,11.76,0,Urine ost pouch w bltinconv
A4430,,,D,OS,12.14,10.32,12.14,0,Ost urine pch w b/bltin conv
A4431,,,D,OS,8.84,7.51,8.84,0,Ost pch urine w barrier/tapv
A4432,,,D,OS,5.11,4.34,5.11,0,Os pch urine w bar/fange/tap
A4433,,,D,OS,4.78,4.06,4.78,0,Urine ost pch bar w lock fln
A4434,,,D,OS,5.36,4.56,5.36,0,Ost pch urine w lock flng/ft
A4435,,,D,OS,8.21,6.98,8.21,0,1pc ost pch drain hgh output
A4436,,,J,OS,27.33,23.23,27.33,0,Irr supply sleev reus per mo
A4437,,,J,OS,27.33,23.23,27.33,0,Irr supply sleev disp per mo
A4438,,,L,PO,2.62,1.96,1.96,0,Adhesive clip ext ens contr
A4450,AU,,D,OS,0.1,0.09,0.1,0,Non-waterproof tape
A4450,AV,,D,OS,0.1,0.09,0.1,0,Non-waterproof tape
A4450,AW,,D,OS,0.14,0.12,0.14,0,Non-waterproof tape
A4452,AU,,D,OS,0.5,0.43,0.5,0,Waterproof tape
A4452,AV,,D,OS,0.5,0.43,0.5,0,Waterproof tape
A4452,AW,,D,OS,0.54,0.46,0.54,0,Waterproof tape
A4453,,,D,PO,16.85,12.64,14.04,0,"Rec cath any transanal, each"
A4455,,,D,OS,2.03,1.73,2.03,0,Adhesive remover per ounce
A4456,,,D,OS,0.35,0.3,0.35,0,"Adhesive remover, wipes"
A4459,,,D,PO,192.5,144.38,160.42,0,"Transanal irrigation, any"
A4461,,,D,SD,4.7,4,4.7,0,Surgicl dress hold non-reuse
A4463,,,D,SD,18.97,16.12,18.97,0,Surgical dress holder reuse
A4481,,,D,OS,0.52,0.44,0.52,0,Tracheostoma filter
A4483,,,D,OS,0,0,0,0,Moisture exchanger
A4541,,,D,SU,41.07,34.91,41.07,0,Monthly supp use with e0733
A4542,,,D,SU,526.85,447.82,526.85,0,Supp ext up limb tremor stim
A4544,,,D,SU,6.34,5.39,6.34,0,Electro nerve stimulator rls
A4545,,,D,SU,0,0,41.72,0,Suppl accessor tibial stim
A4556,,,D,SU,17.31,14.71,14.71,0,"Electrodes, pair"
A4557,,,D,SU,0,0,12.46,19.81,"Lead wires, pair"
A4558,,,D,SU,7.77,6.6,7.77,0,Conductive gel or paste
A4559,,,D,SU,0.13,0.11,0.13,0,Coupling gel or paste
A4561,,,L,PO,34.73,26.05,28.43,0,Pessary reusable rub anytype
A4562,,,L,PO,86.42,64.82,70.81,0,Pessary reusable nonrubber
A4563,,,L,PO,2002.25,1501.69,1640.3,0,Vag inser rectal control sys
A4565,,,L,SC,10.98,9.33,10.98,0,Slings
A4593,RR,,D,CR,0,0,52.81,0,Neuromod sti sys adj rehab
A4594,NU,,D,IN,3095.12,2630.85,3095.12,0,Neuromod adj rehab mouthpie
A4595,,,D,SU,0,0,11.4,27.55,Tens suppl 2 lead per month
A4596,,,D,SU,0,0,41.07,0,Ces system monthly supp
A4602,NU,,D,IN,5.31,4.51,5.31,0,Replace lithium battery 1.5v
A4604,NU,,D,IN,0,0,50.66,68.75,Tubing with heating element
A4605,NU,,D,IN,23.38,19.87,23.38,0,Trach suction cath close sys
A4608,,,D,OX,71.44,60.72,71.44,0,Transtracheal oxygen cath
A4614,,,D,IN,33.89,28.81,33.89,0,Hand-held pefr meter
A4615,,,D,SU,1.04,0.88,1.04,0,Cannula nasal
A4616,,,D,SU,0.08,0.07,0.08,0,Tubing (oxygen) per foot
A4617,,,D,SU,4.42,3.76,4.42,0,Mouth piece
A4618,NU,,D,IN,12.68,10.78,10.91,0,Breathing circuits
A4618,RR,,D,IN,1.47,1.25,1.25,0,Breathing circuits
A4618,UE,,D,IN,9.51,8.08,8.16,0,Breathing circuits
A4619,NU,,D,IN,0,0,2.57,2.61,Face tent
A4620,,,D,SU,0.91,0.77,0.91,0,Variable concentration mask
A4623,,,D,OS,9.34,7.94,9.34,0,Tracheostomy inner cannula
A4624,NU,,D,IN,3.76,3.2,3.76,0,Tracheal suction tube
A4625,,,D,OS,9.87,8.39,9.31,0,Trach care kit for new trach
A4626,,,D,OS,4.54,3.86,4.54,0,Tracheostomy cleaning brush
A4628,NU,,D,IN,5.33,4.53,5.2,0,Oropharyngeal suction cath
A4629,,,D,OS,6.63,5.64,6.59,0,Tracheostomy care kit
A4630,NU,,D,IN,8.88,7.55,8.88,0,Repl bat t.e.n.s. own by pt
A4633,NU,,D,IN,58.49,49.72,58.49,0,Uvl replacement bulb
A4635,NU,,D,IN,7.28,6.19,7.28,0,Underarm crutch pad
A4635,RR,,D,IN,0.99,0.84,0.96,0,Underarm crutch pad
A4635,UE,,D,IN,4.86,4.13,4.86,0,Underarm crutch pad
A4636,NU,,D,IN,0,0,3.97,4.57,Handgrip for cane etc
A4636,NU,KE,D,IN,0,0,0,4.95,Handgrip for cane etc
A4636,RR,,D,IN,0,0,0.4,0.46,Handgrip for cane etc
A4636,RR,KE,D,IN,0,0,0,0.5,Handgrip for cane etc
A4636,UE,,D,IN,0,0,2.98,3.38,Handgrip for cane etc
A4636,UE,KE,D,IN,0,0,0,3.65,Handgrip for cane etc
A4637,NU,,D,IN,0,0,2.2,2.22,Repl tip cane/crutch/walker
A4637,NU,KE,D,IN,0,0,0,2.38,Repl tip cane/crutch/walker
A4637,RR,,D,IN,0,0,0.22,0.26,Repl tip cane/crutch/walker
A4637,RR,KE,D,IN,0,0,0,0.29,Repl tip cane/crutch/walker
A4637,UE,,D,IN,0,0,1.66,1.68,Repl tip cane/crutch/walker
A4637,UE,KE,D,IN,0,0,0,1.8,Repl tip cane/crutch/walker
A4638,NU,,D,IN,0,0,0,0,Repl batt pulse gen sys
A4638,RR,,D,IN,0,0,0,0,Repl batt pulse gen sys
A4638,UE,,D,IN,0,0,0,0,Repl batt pulse gen sys
A4639,RR,,D,CR,40.94,34.8,40.94,0,Infrared ht sys replcmnt pad
A4640,NU,,D,IN,0,0,58.1,76.61,Alternating pressure pad
A4640,RR,,D,IN,0,0,5.81,7.65,Alternating pressure pad
A4640,UE,,D,IN,0,0,43.58,57.47,Alternating pressure pad
A5051,,,D,OS,2.94,2.5,2.94,0,Pouch clsd w barr attached
A5052,,,D,OS,2.12,1.8,2.12,0,Clsd ostomy pouch w/o barr
A5053,,,D,OS,2.46,2.09,2.46,0,Clsd ostomy pouch faceplate
A5054,,,D,OS,2.56,2.18,2.56,0,Clsd ostomy pouch w/flange
A5055,,,D,OS,2.05,1.74,2.05,0,Stoma cap
A5056,,,D,OS,6.66,5.66,6.66,0,1 pc ost pouch w filter
A5057,,,D,OS,13.68,11.63,13.68,0,1 pc ost pou w built-in conv
A5061,,,D,OS,5.04,4.28,5.04,0,Pouch drainable w barrier at
A5062,,,D,OS,3.18,2.7,2.96,0,Drnble ostomy pouch w/o barr
A5063,,,D,OS,3.86,3.28,3.86,0,Drain ostomy pouch w/flange
A5071,,,D,OS,8.57,7.28,8.57,0,Urinary pouch w/barrier
A5072,,,D,OS,5.04,4.28,5.04,0,Urinary pouch w/o barrier
A5073,,,D,OS,4.53,3.85,4.47,0,Urinary pouch on barr w/flng
A5081,,,D,OS,4.72,4.01,4.01,0,"Stoma plug or seal, any type"
A5082,,,D,OS,16.96,14.42,14.46,0,Continent stoma catheter
A5083,,,D,OS,0.92,0.78,0.92,0,Stoma absorptive cover
A5093,,,D,OS,2.78,2.36,2.78,0,Ostomy accessory convex inse
A5102,,,D,OS,32.16,27.34,32.16,0,Bedside drain btl w/wo tube
A5105,,,D,OS,58.11,49.39,58.11,0,Urinary suspensory
A5112,,,D,OS,49.35,41.95,49.35,0,Urinary leg bag
A5113,,,D,OS,6.71,5.7,6.71,0,Latex leg strap
A5114,,,D,OS,12.75,10.84,12.75,0,Foam/fabric leg strap
A5120,AU,,D,OS,0.35,0.3,0.33,0,"Skin barrier, wipe or swab"
A5120,AV,,D,PO,0.4,0.3,0.3,0,"Skin barrier, wipe or swab"
A5121,,,D,OS,10.62,9.03,10.62,0,Solid skin barrier 6x6
A5122,,,D,OS,18.3,15.56,17.43,0,Solid skin barrier 8x8
A5126,,,D,OS,1.87,1.59,1.63,0,Disk/foam pad +or- adhesive
A5131,,,D,OS,22.59,19.2,19.7,0,Appliance cleaner
A5200,,,D,OS,16.12,13.7,16.1,0,Percutaneous catheter anchor
A5500,,,D,TS,108.76,81.57,90.63,0,Diab shoe for density insert
A5501,,,D,TS,326.16,244.62,271.8,0,Diabetic custom molded shoe
A5503,,,D,TS,54.95,41.21,45.79,0,Diabetic shoe w/roller/rockr
A5504,,,D,TS,54.95,41.21,45.79,0,Diabetic shoe with wedge
A5505,,,D,TS,54.95,41.21,45.79,0,Diab shoe w/metatarsal bar
A5506,,,D,TS,54.95,41.21,45.79,0,Diabetic shoe w/off set heel
A5507,,,D,TS,54.95,41.21,45.79,0,Modification diabetic shoe
A5512,,,D,TS,44.35,33.26,36.96,0,Multi den insert direct form
A5513,,,D,TS,66.19,49.64,55.16,0,Multi den insert custom mold
A5514,,,D,TS,66.19,49.64,55.16,0,Mult den insert dir carv/cam
A6010,,,J,SD,44.14,37.52,44.14,0,Collagen based wound filler
A6011,,,J,SD,3.25,2.76,3.25,0,Collagen gel/paste wound fil
A6021,,,J,SD,29.97,25.47,29.97,0,Collagen dressing <=16 sq in
A6022,,,J,SD,29.97,25.47,29.97,0,Collagen drsg>16<=48 sq in
A6023,,,J,SD,271.22,230.54,271.22,0,Collagen dressing >48 sq in
A6024,,,J,SD,8.81,7.49,8.81,0,Collagen dsg wound filler
A6154,,,J,SD,20.49,17.42,20.47,0,Wound pouch each
A6196,,,J,SD,10.49,8.92,10.49,0,Alginate dressing <=16 sq in
A6197,,,J,SD,23.44,19.92,23.44,0,Alginate drsg >16 <=48 sq in
A6199,,,J,SD,7.52,6.39,7.52,0,Alginate drsg wound filler
A6203,,,J,SD,4.8,4.08,4.8,0,Composite drsg <= 16 sq in
A6204,,,J,SD,8.86,7.53,8.86,0,Composite drsg >16<=48 sq in
A6207,,,J,SD,10.47,8.9,10.47,0,Contact layer >16<= 48 sq in
A6209,,,J,SD,10.65,9.05,10.65,0,Foam drsg <=16 sq in w/o bdr
A6210,,,J,SD,28.4,24.14,28.4,0,Foam drg >16<=48 sq in w/o b
A6211,,,J,SD,41.86,35.58,41.86,0,Foam drg > 48 sq in w/o brdr
A6212,,,J,SD,13.84,11.76,13.84,0,Foam drg <=16 sq in w/border
A6214,,,J,SD,14.68,12.48,14.68,0,Foam drg > 48 sq in w/border
A6216,,,J,SD,0.05,0.04,0.05,0,Non-sterile gauze<=16 sq in
A6217,,,J,SD,0,0,0,0,Non-sterile gauze>16<=48 sq
A6219,,,J,SD,1.36,1.16,1.36,0,Gauze <= 16 sq in w/border
A6220,,,J,SD,3.69,3.14,3.69,0,Gauze >16 <=48 sq in w/bordr
A6222,,,J,SD,3.04,2.58,3.04,0,Gauze <=16 in no w/sal w/o b
A6223,,,J,SD,3.46,2.94,3.46,0,Gauze >16<=48 no w/sal w/o b
A6224,,,J,SD,5.13,4.36,5.13,0,Gauze > 48 in no w/sal w/o b
A6229,,,J,SD,5.13,4.36,5.13,0,Gauze >16<=48 sq in watr/sal
A6231,,,J,SD,6.68,5.68,6.68,0,Hydrogel dsg<=16 sq in
A6232,,,J,SD,9.78,8.31,9.78,0,Hydrogel dsg>16<=48 sq in
A6233,,,J,SD,27.33,23.23,27.33,0,Hydrogel dressing >48 sq in
A6234,,,J,SD,9.33,7.93,9.33,0,Hydrocolld drg <=16 w/o bdr
A6235,,,J,SD,23.97,20.37,23.97,0,Hydrocolld drg >16<=48 w/o b
A6236,,,J,SD,38.83,33.01,38.83,0,Hydrocolld drg > 48 in w/o b
A6237,,,J,SD,11.27,9.58,11.27,0,Hydrocolld drg <=16 in w/bdr
A6238,,,J,SD,32.5,27.63,32.5,0,Hydrocolld drg >16<=48 w/bdr
A6240,,,J,SD,17.45,14.83,17.45,0,Hydrocolld drg filler paste
A6241,,,J,SD,3.66,3.11,3.66,0,Hydrocolloid drg filler dry
A6242,,,J,SD,8.63,7.34,8.63,0,Hydrogel drg <=16 in w/o bdr
A6243,,,J,SD,17.56,14.93,17.56,0,Hydrogel drg >16<=48 w/o bdr
A6244,,,J,SD,55.99,47.59,55.99,0,Hydrogel drg >48 in w/o bdr
A6245,,,J,SD,10.36,8.81,10.36,0,Hydrogel drg <= 16 in w/bdr
A6246,,,J,SD,14.16,12.04,14.16,0,Hydrogel drg >16<=48 in w/b
A6247,,,J,SD,33.89,28.81,33.89,0,Hydrogel drg > 48 sq in w/b
A6248,,,J,SD,23.15,19.68,23.15,0,Hydrogel drsg gel filler
A6251,,,J,SD,2.84,2.41,2.84,0,Absorpt drg <=16 sq in w/o b
A6252,,,J,SD,4.64,3.94,4.64,0,Absorpt drg >16 <=48 w/o bdr
A6253,,,J,SD,9.03,7.68,9.03,0,Absorpt drg > 48 sq in w/o b
A6254,,,J,SD,1.7,1.45,1.7,0,Absorpt drg <=16 sq in w/bdr
A6255,,,J,SD,4.34,3.69,4.34,0,Absorpt drg >16<=48 in w/bdr
A6257,,,J,SD,2.18,1.85,2.18,0,Transparent film <= 16 sq in
A6258,,,J,SD,6.14,5.22,6.14,0,Transparent film >16<=48 in
A6259,,,J,SD,15.59,13.25,15.59,0,Transparent film > 48 sq in
A6266,,,J,SD,2.72,2.31,2.72,0,Impreg gauze no h20/sal/yard
A6402,,,J,SD,0.15,0.13,0.15,0,Sterile gauze <= 16 sq in
A6403,,,J,SD,0.58,0.49,0.58,0,Sterile gauze>16 <= 48 sq in
A6407,,,J,SD,2.66,2.26,2.66,0,"Packing strips, non-impreg"
A6410,,,J,SD,0.53,0.45,0.53,0,Sterile eye pad
A6411,,,J,SD,0,0,0,0,Non-sterile eye pad
A6441,,,J,SD,0.97,0.82,0.97,0,"Pad band w>=3"" <5""/yd"
A6442,,,J,SD,0.23,0.2,0.23,0,"Conform band n/s w<3""/yd"
A6443,,,J,SD,0.4,0.34,0.4,0,"Conform band n/s w>=3""<5""/yd"
A6444,,,J,SD,0.8,0.68,0.8,0,"Conform band n/s w>=5""/yd"
A6445,,,J,SD,0.45,0.38,0.45,0,"Conform band s w <3""/yd"
A6446,,,J,SD,0.55,0.47,0.55,0,"Conform band s w>=3"" <5""/yd"
A6447,,,J,SD,0.97,0.82,0.97,0,"Conform band s w >=5""/yd"
A6448,,,J,SD,1.64,1.39,1.64,0,"Lt compres band <3""/yd"
A6449,,,J,SD,2.5,2.13,2.5,0,"Lt compres band >=3"" <5""/yd"
A6450,,,J,SD,2.5,2.13,2.5,0,"Lt compres band >=5""/yd"
A6451,,,J,SD,2.5,2.13,2.5,0,"Mod compres band w>=3""<5""/yd"
A6452,,,J,SD,8.4,7.14,8.4,0,"High compres band w>=3""<5""yd"
A6453,,,J,SD,0.9,0.77,0.9,0,"Self-adher band w <3""/yd"
A6454,,,J,SD,1.12,0.95,1.12,0,"Self-adher band w>=3"" <5""/yd"
A6455,,,J,SD,1.99,1.69,1.99,0,"Self-adher band >=5""/yd"
A6456,,,J,SD,1.79,1.52,1.79,0,"Zinc paste band w >=3""<5""/yd"
A6457,,,J,SD,1.62,1.38,1.62,0,Tubular dressing
A6501,,,J,SD,0,0,0,0,Compres burngarment bodysuit
A6502,,,J,SD,0,0,0,0,Compres burngarment chinstrp
A6503,,,J,SD,0,0,0,0,Compres burngarment facehood
A6504,,,J,SD,0,0,0,0,Cmprsburngarment glove-wrist
A6505,,,J,SD,0,0,0,0,Cmprsburngarment glove-elbow
A6506,,,J,SD,0,0,0,0,Cmprsburngrmnt glove-axilla
A6507,,,J,SD,0,0,0,0,Cmprs burngarment foot-knee
A6508,,,J,SD,0,0,0,0,Cmprs burngarment foot-thigh
A6509,,,J,SD,0,0,0,0,Compres burn garment jacket
A6510,,,J,SD,0,0,0,0,Compres burn garment leotard
A6511,,,J,SD,0,0,0,0,Compres burn garment panty
A6513,,,D,SD,0,0,0,0,Compress burn mask face/neck
A6520,,,D,LC,0,0,126.45,0,G com garmnt glove nghttime
A6521,,,D,LC,0,0,501.75,0,G com garmnt glove nght cust
A6522,,,D,LC,0,0,307.26,0,G com garment arm nighttime
A6523,,,D,LC,0,0,729.02,0,G com garment arm nght custm
A6524,,,D,LC,0,0,383.34,0,G com garmnt lwr leg/ft nght
A6525,,,D,LC,0,0,773.9,0,G com garm lwrleg/ft ngt cus
A6526,,,D,LC,0,0,693.06,0,G com garmt full leg/ft nght
A6527,,,D,LC,0,0,1274.45,0,G garmt full leg/ft nght cus
A6528,,,D,LC,0,0,666.42,0,G com garment bra nighttime
A6529,,,D,LC,0,0,1053.04,0,G com garmt bra night custm
A6530,,,D,LC,0,0,39.07,0,Compression stocking bk18-30
A6531,AW,,D,SD,61.66,52.41,61.66,0,Compress stking bk30-40 surg
A6532,AW,,D,SD,86.88,73.85,86.88,0,Compress stking bk40-50 surg
A6533,,,D,LC,0,0,54.86,0,Gc stocking thighlngth 18-30
A6534,,,D,LC,0,0,62.65,0,Gc stocking thighlngth 30-40
A6535,,,D,LC,0,0,72.13,0,Gc stocking thighlngth 40+
A6536,,,D,LC,0,0,73.95,0,Gc stocking full lngth 18-30
A6537,,,D,LC,0,0,87.67,0,Gc stocking full lngth 30-40
A6538,,,D,LC,0,0,102.65,0,Gc stocking full lngth 40+
A6539,,,D,LC,0,0,97.86,0,Gc stocking waistlngth 18-30
A6540,,,D,LC,0,0,116.68,0,Gc stocking waistlngth 30-40
A6541,,,D,LC,0,0,138.21,0,Gc stocking waistlngth 40+
A6545,AW,,D,SD,121.41,103.2,121.41,0,Grad com non-elastic bk surg
A6550,,,D,SU,0,0,31.31,33.7,Neg pres wound ther drsg set
A6552,,,D,LC,0,0,57.97,0,Grad com stocking bk 30-40
A6553,,,D,LC,0,0,226.38,0,G com stcking bk 30-40 custm
A6554,,,D,LC,0,0,79.72,0,Grad com stocking bk 40+
A6555,,,D,LC,0,0,226.38,0,G com stcking bk 40+ custm
A6556,,,D,LC,0,0,310.25,0,G com stcking thgh18-30 cust
A6557,,,D,LC,0,0,310.25,0,G com stcking thgh30-40 cust
A6558,,,D,LC,0,0,320.17,0,G com stcking thgh 40+ cust
A6562,,,D,LC,0,0,1015.37,0,G com stckng waist18-30 cust
A6563,,,D,LC,0,0,1015.37,0,G com stckng waist30-40 cust
A6564,,,D,LC,0,0,1093.78,0,G com stckng waist 40+ cust
A6565,,,D,LC,0,0,175.45,0,Grad comp gauntlet custom
A6566,,,D,LC,0,0,254.75,0,Grad com garment neck/head
